id,bank_uuid,protocol_action,protocol_bean_name,consent_supported
10000,8025d980-1ba3-43ff-ac69-c97ffc9d76e1,LIST_ACCOUNTS,xs2aListAccounts,true
10001,8025d980-1ba3-43ff-ac69-c97ffc9d76e1,LIST_TRANSACTIONS,xs2aListTransactions,true
10002,8025d980-1ba3-43ff-ac69-c97ffc9d76e1,AUTHORIZATION,,true
10003,8025d980-1ba3-43ff-ac69-c97ffc9d76e1,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10004,8025d980-1ba3-43ff-ac69-c97ffc9d76e1,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10005,8025d980-1ba3-43ff-ac69-c97ffc9d76e1,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10006,6fa2313d-de4c-4eeb-93ed-2cd0ae0012fb,LIST_ACCOUNTS,hbciListAccounts,false
10007,6fa2313d-de4c-4eeb-93ed-2cd0ae0012fb,LIST_TRANSACTIONS,hbciListTransactions,false
10008,6fa2313d-de4c-4eeb-93ed-2cd0ae0012fb,AUTHORIZATION,,false
10009,6fa2313d-de4c-4eeb-93ed-2cd0ae0012fb,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10010,6fa2313d-de4c-4eeb-93ed-2cd0ae0012fb,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10011,6fa2313d-de4c-4eeb-93ed-2cd0ae0012fb,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10012,b168ecfa-fbee-4e11-b65a-b5cc0589fe7c,LIST_ACCOUNTS,xs2aListAccounts,true
10013,b168ecfa-fbee-4e11-b65a-b5cc0589fe7c,LIST_TRANSACTIONS,xs2aListTransactions,true
10014,b168ecfa-fbee-4e11-b65a-b5cc0589fe7c,AUTHORIZATION,,true
10015,b168ecfa-fbee-4e11-b65a-b5cc0589fe7c,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10016,b168ecfa-fbee-4e11-b65a-b5cc0589fe7c,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10017,b168ecfa-fbee-4e11-b65a-b5cc0589fe7c,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10018,8b5ecf57-a906-44e5-ba5f-55bd1b113b4e,LIST_ACCOUNTS,hbciListAccounts,false
10019,8b5ecf57-a906-44e5-ba5f-55bd1b113b4e,LIST_TRANSACTIONS,hbciListTransactions,false
10020,8b5ecf57-a906-44e5-ba5f-55bd1b113b4e,AUTHORIZATION,,false
10021,8b5ecf57-a906-44e5-ba5f-55bd1b113b4e,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10022,8b5ecf57-a906-44e5-ba5f-55bd1b113b4e,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10023,8b5ecf57-a906-44e5-ba5f-55bd1b113b4e,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10024,c2794b1e-02d4-4c7c-9c48-4737944c1208,LIST_ACCOUNTS,xs2aListAccounts,true
10025,c2794b1e-02d4-4c7c-9c48-4737944c1208,LIST_TRANSACTIONS,xs2aListTransactions,true
10026,c2794b1e-02d4-4c7c-9c48-4737944c1208,AUTHORIZATION,,true
10027,c2794b1e-02d4-4c7c-9c48-4737944c1208,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10028,c2794b1e-02d4-4c7c-9c48-4737944c1208,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10029,c2794b1e-02d4-4c7c-9c48-4737944c1208,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10030,241d3de7-f329-4408-a48d-afc5b9088195,LIST_ACCOUNTS,hbciListAccounts,false
10031,241d3de7-f329-4408-a48d-afc5b9088195,LIST_TRANSACTIONS,hbciListTransactions,false
10032,241d3de7-f329-4408-a48d-afc5b9088195,AUTHORIZATION,,false
10033,241d3de7-f329-4408-a48d-afc5b9088195,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10034,241d3de7-f329-4408-a48d-afc5b9088195,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10035,241d3de7-f329-4408-a48d-afc5b9088195,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10036,9f0c74ae-99ca-45c6-a9e7-52f76d1b0ee3,LIST_ACCOUNTS,xs2aListAccounts,true
10037,9f0c74ae-99ca-45c6-a9e7-52f76d1b0ee3,LIST_TRANSACTIONS,xs2aListTransactions,true
10038,9f0c74ae-99ca-45c6-a9e7-52f76d1b0ee3,AUTHORIZATION,,true
10039,9f0c74ae-99ca-45c6-a9e7-52f76d1b0ee3,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10040,9f0c74ae-99ca-45c6-a9e7-52f76d1b0ee3,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10041,9f0c74ae-99ca-45c6-a9e7-52f76d1b0ee3,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10042,f11e42c7-a496-474c-8363-c6c984474f83,LIST_ACCOUNTS,hbciListAccounts,false
10043,f11e42c7-a496-474c-8363-c6c984474f83,LIST_TRANSACTIONS,hbciListTransactions,false
10044,f11e42c7-a496-474c-8363-c6c984474f83,AUTHORIZATION,,false
10045,f11e42c7-a496-474c-8363-c6c984474f83,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10046,f11e42c7-a496-474c-8363-c6c984474f83,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10047,f11e42c7-a496-474c-8363-c6c984474f83,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10048,fa3754ad-70e0-43a3-bf19-5b6dbb8b6893,LIST_ACCOUNTS,xs2aListAccounts,true
10049,fa3754ad-70e0-43a3-bf19-5b6dbb8b6893,LIST_TRANSACTIONS,xs2aListTransactions,true
10050,fa3754ad-70e0-43a3-bf19-5b6dbb8b6893,AUTHORIZATION,,true
10051,fa3754ad-70e0-43a3-bf19-5b6dbb8b6893,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10052,fa3754ad-70e0-43a3-bf19-5b6dbb8b6893,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10053,fa3754ad-70e0-43a3-bf19-5b6dbb8b6893,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10054,586979e0-f36d-4740-945f-c77b98e9ad40,LIST_ACCOUNTS,hbciListAccounts,false
10055,586979e0-f36d-4740-945f-c77b98e9ad40,LIST_TRANSACTIONS,hbciListTransactions,false
10056,586979e0-f36d-4740-945f-c77b98e9ad40,AUTHORIZATION,,false
10057,586979e0-f36d-4740-945f-c77b98e9ad40,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10058,586979e0-f36d-4740-945f-c77b98e9ad40,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10059,586979e0-f36d-4740-945f-c77b98e9ad40,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10060,d8cb8b5d-ed72-44d2-a55f-55de8f24b060,LIST_ACCOUNTS,xs2aListAccounts,true
10061,d8cb8b5d-ed72-44d2-a55f-55de8f24b060,LIST_TRANSACTIONS,xs2aListTransactions,true
10062,d8cb8b5d-ed72-44d2-a55f-55de8f24b060,AUTHORIZATION,,true
10063,d8cb8b5d-ed72-44d2-a55f-55de8f24b060,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10064,d8cb8b5d-ed72-44d2-a55f-55de8f24b060,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10065,d8cb8b5d-ed72-44d2-a55f-55de8f24b060,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10066,6a9d229b-b274-493f-91dc-8913ff367309,LIST_ACCOUNTS,hbciListAccounts,false
10067,6a9d229b-b274-493f-91dc-8913ff367309,LIST_TRANSACTIONS,hbciListTransactions,false
10068,6a9d229b-b274-493f-91dc-8913ff367309,AUTHORIZATION,,false
10069,6a9d229b-b274-493f-91dc-8913ff367309,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10070,6a9d229b-b274-493f-91dc-8913ff367309,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10071,6a9d229b-b274-493f-91dc-8913ff367309,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10072,494070aa-9314-4952-ad3e-56fafb8727ad,LIST_ACCOUNTS,xs2aListAccounts,true
10073,494070aa-9314-4952-ad3e-56fafb8727ad,LIST_TRANSACTIONS,xs2aListTransactions,true
10074,494070aa-9314-4952-ad3e-56fafb8727ad,AUTHORIZATION,,true
10075,494070aa-9314-4952-ad3e-56fafb8727ad,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
