id,action_id,protocol_action,sub_protocol_bean_name
10000,10002,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10001,10002,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10002,10002,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10003,10002,DENY_AUTHORIZATION,xs2aDenyAuthorization
10004,10008,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10005,10008,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10006,10008,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10007,10008,DENY_AUTHORIZATION,hbciDenyAuthorization
10008,10014,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10009,10014,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10010,10014,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10011,10014,DENY_AUTHORIZATION,xs2aDenyAuthorization
10012,10020,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10013,10020,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10014,10020,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10015,10020,DENY_AUTHORIZATION,hbciDenyAuthorization
10016,10026,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10017,10026,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10018,10026,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10019,10026,DENY_AUTHORIZATION,xs2aDenyAuthorization
10020,10032,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10021,10032,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10022,10032,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10023,10032,DENY_AUTHORIZATION,hbciDenyAuthorization
10024,10038,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10025,10038,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10026,10038,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10027,10038,DENY_AUTHORIZATION,xs2aDenyAuthorization
10028,10044,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10029,10044,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10030,10044,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10031,10044,DENY_AUTHORIZATION,hbciDenyAuthorization
