id,profile_uuid,protocol_action,protocol_bean_name,consent_supported
10008,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,LIST_ACCOUNTS,hbciListAccounts,false
10009,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,LIST_TRANSACTIONS,hbciListTransactions,false
10010,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,AUTHORIZATION,,false
10011,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10012,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10013,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10014,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,DELETE_CONSENT,hbciDeleteConsent,false
10015,34dfe99a-bfa7-428f-b810-6ddeeb9cf526,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10024,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,LIST_ACCOUNTS,hbciListAccounts,false
10025,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,LIST_TRANSACTIONS,hbciListTransactions,false
10026,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,AUTHORIZATION,,false
10027,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10028,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10029,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10030,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,DELETE_CONSENT,hbciDeleteConsent,false
10031,8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10040,e1d0738d-262c-4825-a2b0-f735d31dde13,LIST_ACCOUNTS,hbciListAccounts,false
10041,e1d0738d-262c-4825-a2b0-f735d31dde13,LIST_TRANSACTIONS,hbciListTransactions,false
10042,e1d0738d-262c-4825-a2b0-f735d31dde13,AUTHORIZATION,,false
10043,e1d0738d-262c-4825-a2b0-f735d31dde13,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10044,e1d0738d-262c-4825-a2b0-f735d31dde13,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10045,e1d0738d-262c-4825-a2b0-f735d31dde13,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10046,e1d0738d-262c-4825-a2b0-f735d31dde13,DELETE_CONSENT,hbciDeleteConsent,false
10047,e1d0738d-262c-4825-a2b0-f735d31dde13,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10056,f6cbf5f8-e44b-46f7-91e0-e4139b214953,LIST_ACCOUNTS,hbciListAccounts,false
10057,f6cbf5f8-e44b-46f7-91e0-e4139b214953,LIST_TRANSACTIONS,hbciListTransactions,false
10058,f6cbf5f8-e44b-46f7-91e0-e4139b214953,AUTHORIZATION,,false
10059,f6cbf5f8-e44b-46f7-91e0-e4139b214953,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10060,f6cbf5f8-e44b-46f7-91e0-e4139b214953,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10061,f6cbf5f8-e44b-46f7-91e0-e4139b214953,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10062,f6cbf5f8-e44b-46f7-91e0-e4139b214953,DELETE_CONSENT,hbciDeleteConsent,false
10063,f6cbf5f8-e44b-46f7-91e0-e4139b214953,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10072,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,LIST_ACCOUNTS,hbciListAccounts,false
10073,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,LIST_TRANSACTIONS,hbciListTransactions,false
10074,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,AUTHORIZATION,,false
10075,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10076,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10077,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10078,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,DELETE_CONSENT,hbciDeleteConsent,false
10079,8eadadce-c4ef-4d66-8720-b8cc4647ac3a,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10088,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,LIST_ACCOUNTS,hbciListAccounts,false
10089,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,LIST_TRANSACTIONS,hbciListTransactions,false
10090,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,AUTHORIZATION,,false
10091,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10092,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10093,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10094,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,DELETE_CONSENT,hbciDeleteConsent,false
10095,7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10104,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,LIST_ACCOUNTS,hbciListAccounts,false
10105,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,LIST_TRANSACTIONS,hbciListTransactions,false
10106,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,AUTHORIZATION,,false
10107,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10108,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10109,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10110,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,DELETE_CONSENT,hbciDeleteConsent,false
10111,c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10120,ab4f1e54-6776-4833-8bc2-21319588792b,LIST_ACCOUNTS,hbciListAccounts,false
10121,ab4f1e54-6776-4833-8bc2-21319588792b,LIST_TRANSACTIONS,hbciListTransactions,false
10122,ab4f1e54-6776-4833-8bc2-21319588792b,AUTHORIZATION,,false
10123,ab4f1e54-6776-4833-8bc2-21319588792b,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10124,ab4f1e54-6776-4833-8bc2-21319588792b,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10125,ab4f1e54-6776-4833-8bc2-21319588792b,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10126,ab4f1e54-6776-4833-8bc2-21319588792b,DELETE_CONSENT,hbciDeleteConsent,false
10127,ab4f1e54-6776-4833-8bc2-21319588792b,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10136,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,LIST_ACCOUNTS,hbciListAccounts,false
10137,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,LIST_TRANSACTIONS,hbciListTransactions,false
10138,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,AUTHORIZATION,,false
10139,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,SINGLE_PAYMENT,hbciInitiateSinglePayment,false
10140,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,GET_PAYMENT_INFORMATION,hbciGetPaymentInfoState,false
10141,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,GET_PAYMENT_STATUS,hbciGetPaymentStatusState,false
10142,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,DELETE_CONSENT,hbciDeleteConsent,false
10143,2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,GET_CONSENT_STATUS,hbciGetConsentStatus,false
10152,29e3e1e2-1301-4a0a-a6fe-67bc4fa7276f,LIST_ACCOUNTS,hbciListAccounts,false
10153,29e3e1e2-1301-4a0a-a6fe-67bc4fa7276f,LIST_TRANSACTIONS,hbciListTransactions,false
10154,29e3e1e2-1301-4a0a-a6fe-67bc4fa7276f,AUTHORIZATION,,false
