id,action_id,protocol_action,sub_protocol_bean_name
10004,10010,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10005,10010,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10006,10010,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10007,10010,DENY_AUTHORIZATION,hbciDenyAuthorization
10012,10026,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10013,10026,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10014,10026,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10015,10026,DENY_AUTHORIZATION,hbciDenyAuthorization
10020,10042,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10021,10042,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10022,10042,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10023,10042,DENY_AUTHORIZATION,hbciDenyAuthorization
10028,10058,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10029,10058,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10030,10058,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10031,10058,DENY_AUTHORIZATION,hbciDenyAuthorization
10036,10074,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10037,10074,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10038,10074,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10039,10074,DENY_AUTHORIZATION,hbciDenyAuthorization
10044,10090,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10045,10090,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10046,10090,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10047,10090,DENY_AUTHORIZATION,hbciDenyAuthorization
10052,10106,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10053,10106,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10054,10106,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10055,10106,DENY_AUTHORIZATION,hbciDenyAuthorization
10060,10122,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10061,10122,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10062,10122,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10063,10122,DENY_AUTHORIZATION,hbciDenyAuthorization
10068,10138,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10069,10138,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10070,10138,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10071,10138,DENY_AUTHORIZATION,hbciDenyAuthorization
10076,10154,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10077,10154,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10078,10154,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10079,10154,DENY_AUTHORIZATION,hbciDenyAuthorization
10084,10170,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10085,10170,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10086,10170,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10087,10170,DENY_AUTHORIZATION,hbciDenyAuthorization
10092,10186,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10093,10186,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10094,10186,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10095,10186,DENY_AUTHORIZATION,hbciDenyAuthorization
10100,10202,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10101,10202,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10102,10202,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10103,10202,DENY_AUTHORIZATION,hbciDenyAuthorization
10108,10218,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10109,10218,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10110,10218,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10111,10218,DENY_AUTHORIZATION,hbciDenyAuthorization
10116,10234,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10117,10234,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10118,10234,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10119,10234,DENY_AUTHORIZATION,hbciDenyAuthorization
10124,10250,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10125,10250,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10126,10250,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10127,10250,DENY_AUTHORIZATION,hbciDenyAuthorization
10132,10266,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10133,10266,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10134,10266,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10135,10266,DENY_AUTHORIZATION,hbciDenyAuthorization
10140,10282,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10141,10282,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10142,10282,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10143,10282,DENY_AUTHORIZATION,hbciDenyAuthorization
10148,10298,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10149,10298,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10150,10298,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10151,10298,DENY_AUTHORIZATION,hbciDenyAuthorization
10156,10314,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10157,10314,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10158,10314,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10159,10314,DENY_AUTHORIZATION,hbciDenyAuthorization
10164,10330,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10165,10330,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10166,10330,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10167,10330,DENY_AUTHORIZATION,hbciDenyAuthorization
10172,10346,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10173,10346,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10174,10346,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10175,10346,DENY_AUTHORIZATION,hbciDenyAuthorization
10180,10362,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10181,10362,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10182,10362,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10183,10362,DENY_AUTHORIZATION,hbciDenyAuthorization
10188,10378,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10189,10378,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10190,10378,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10191,10378,DENY_AUTHORIZATION,hbciDenyAuthorization
10196,10394,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10197,10394,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10198,10394,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10199,10394,DENY_AUTHORIZATION,hbciDenyAuthorization
10204,10410,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10205,10410,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10206,10410,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10207,10410,DENY_AUTHORIZATION,hbciDenyAuthorization
10212,10426,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10213,10426,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10214,10426,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10215,10426,DENY_AUTHORIZATION,hbciDenyAuthorization
10220,10442,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10221,10442,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10222,10442,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10223,10442,DENY_AUTHORIZATION,hbciDenyAuthorization
10228,10458,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10229,10458,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10230,10458,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10231,10458,DENY_AUTHORIZATION,hbciDenyAuthorization
10236,10474,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10237,10474,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10238,10474,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10239,10474,DENY_AUTHORIZATION,hbciDenyAuthorization
10244,10490,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10245,10490,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10246,10490,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10247,10490,DENY_AUTHORIZATION,hbciDenyAuthorization
10252,10506,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10253,10506,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10254,10506,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10255,10506,DENY_AUTHORIZATION,hbciDenyAuthorization
10260,10522,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10261,10522,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10262,10522,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10263,10522,DENY_AUTHORIZATION,hbciDenyAuthorization
10268,10538,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
