profile_uuid,bank_uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches,protocol_type,is_sandbox
34dfe99a-bfa7-428f-b810-6ddeeb9cf526,46c7674a-5ccb-461a-8832-911e1ce2fb46,Bundesbank,MARKDEF1250,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,25000000,,,HBCI,false
8b8ab4c1-c01a-448f-ab2c-73a15bf8d09c,f3f43a35-9d01-4054-9bd8-588f1b845781,Bundesbank,MARKDEF1260,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,26000000,,,HBCI,false
e1d0738d-262c-4825-a2b0-f735d31dde13,817d890b-daf1-4df4-b805-21de883166fe,Bundesbank,MARKDEF1265,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,26500000,,,HBCI,false
f6cbf5f8-e44b-46f7-91e0-e4139b214953,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,Bundesbank,MARKDEF1280,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,28000000,,,HBCI,false
8eadadce-c4ef-4d66-8720-b8cc4647ac3a,8fc84960-3e44-4f86-ab1d-945da7dac0c2,Bundesbank eh Bremen,MARKDEF1290,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,29000000,,,HBCI,false
7ba8c8b4-d369-4c55-aebf-5b61f9f88f57,2f4857d8-b4c2-482d-896d-7fa64ab8048d,Bundesbank,MARKDEF1300,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,30000000,,,HBCI,false
c9a491fa-c7d8-4ebd-b5f5-5bf9114d9373,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,Bundesbank,MARKDEF1360,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,36000000,,,HBCI,false
ab4f1e54-6776-4833-8bc2-21319588792b,688b503d-0f75-4e9a-8944-c0fc4420d92e,Bundesbank,MARKDEF1370,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,37000000,,,HBCI,false
2d89fcd6-e9a4-4b43-82a9-5cc93b914c6e,76d7e319-fddc-46a4-84fb-607238ddeeae,Bundesbank,MARKDEF1430,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,43000000,,,HBCI,false
29e3e1e2-1301-4a0a-a6fe-67bc4fa7276f,b8a8c9bd-5751-4db6-879f-9654fa657552,Bundesbank,MARKDEF1440,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,44000000,,,HBCI,false
76f315e0-ea8f-42e2-a41b-4898469dd8a2,b5505b90-078d-48e5-9298-5ed46a40bca0,Bundesbank,MARKDEF1450,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,45000000,,,HBCI,false
9b9791e7-79bf-4639-ab9c-0c46c965dbdf,8faea9c3-6050-4baa-a9e2-e693849080af,Deutsche Bundesbank Filiale Dortmund (Bargeldzentrum),MARKDEF1470,https://psd2.bvxs2a.de/bundesbank,verlag-adapter,47000000,,,HBCI,false
