bank_uuid,profile_uuid,name,bic,url,adapter_id,bank_code,idp_url,aspsp_sca_approaches,protocol_type,is_sandbox,preferred_approach,try_to_use_preferred_approach
adadadad-1000-0000-0000-b0b0b0b0b0b0,918d80fa-f7fd-4c9f-a6bd-7a9e12aeee76,HBCI no SCA,ADORSYS HA,http://localhost:8090/hbci-mock/,hbci-adapter,10000001,,,HBCI,true,NULL,false
adadadad-2000-0000-0000-b0b0b0b0b0b0,0a1a6417-4913-4238-ab56-058025c3b2b8,HBCI no SCA authenticated BPD,ADORSYS HB,http://localhost:8090/hbci-mock/,hbci-adapter,20000002,,,HBCI,true,NULL,false
adadadad-3000-0000-0000-b0b0b0b0b0b0,125ef2c6-f414-4a10-a865-e3cdddf9753d,HBCI transactions SCA,ADORSYS HS,http://localhost:8090/hbci-mock/,hbci-adapter,30000003,,,HBCI,true,NULL,false
adadadad-4000-0000-0000-b0b0b0b0b0b0,45e6cda0-69a7-4731-90fc-2b13a42fd3bd,oauth-prestep,ADORSYS OP,http://localhost:20014,adorsys-adapter,40000004,http://localhost:20015/oauth/authorization-server,,XS2A,true,NULL,false
adadadad-4000-0000-0000-b0b0b0b0b0b0,867a53d8-4cca-4365-a393-7febb0bbd38e,oauth-integrated,ADORSYS OI,http://localhost:20014,adorsys-adapter,50000005,http://localhost:20015/oauth/authorization-server,,XS2A,true,NULL,false
adadadad-4000-0000-0000-b0b0b0b0b0b0,2d8b3e75-9e3e-4fd2-b79c-063556ad9ecc,redirect,ADORSYS RE,http://localhost:20014,adorsys-adapter,,http://localhost:20015/oauth/authorization-server,,XS2A,true,REDIRECT,true
adadadad-4000-0000-0000-b0b0b0b0b0b0,aa750320-2958-455e-9926-e9fca5ddfa92,embedded,ADORSYS EM,http://localhost:20014,adorsys-adapter,,http://localhost:20015/oauth/authorization-server,,XS2A,true,EMBEDDED,true
adadadad-4000-0000-0000-b0b0b0b0b0b0,53c47f54-b9a4-465a-8f77-bc6cd5f0cf46,no-preference xs2a,ADORSYS,http://localhost:20014,adorsys-adapter,,http://localhost:20015/oauth/authorization-server,,XS2A,true,NULL,false
adadadad-5000-0000-0000-b0b0b0b0b0b0,0f7e5c28-c1b5-11ed-afa1-0242ac120002,embedded,ATRUVIA EM,https://p1.xs2a-doc.atruvia.de/sandbox/psd2,fiducia-adapter,,,,XS2A,true,EMBEDDED,false
adadadad-5000-0000-0000-b0b0b0b0b0b0,df7d4c03-cf3d-4adb-85ce-c0ea98c6bf30,decoupled,ATRUVIA EM,https://p1.xs2a-doc.atruvia.de/sandbox/psd2,fiducia-adapter,,,,XS2A,true,DECOUPLED,false
adadadad-6000-0000-0000-b0b0b0b0b0b0,3819ca21-e22e-42e0-bba0-50ef63ff42c6,embedded,ATRUVIA EM,https://p2.xs2a-doc.atruvia.de/sandbox/psd2,fiducia-adapter,,,,XS2A,true,EMBEDDED,false
adadadad-6000-0000-0000-b0b0b0b0b0b0,951d1bd3-123b-4656-ae70-d5e8337057d1,decoupled,ATRUVIA EM,https://p2.xs2a-doc.atruvia.de/sandbox/psd2,fiducia-adapter,,,,XS2A,true,DECOUPLED,false
adadadad-7000-0000-0000-b0b0b0b0b0b0,6969534e-fb47-448e-b2f6-804b6376896f,redirect,SPARKASSE,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/xs2a-api/12345678,sparkasse-adapter,12345678,https://xs2a-sandbox.f-i-apim.de:8444/fixs2a-env/oauth/12345678/.well-known,,XS2A,true,REDIRECT,true
