id,bank_uuid,protocol_action,protocol_bean_name,consent_supported
10000,46c7674a-5ccb-461a-8832-911e1ce2fb46,LIST_ACCOUNTS,xs2aListAccounts,true
10001,46c7674a-5ccb-461a-8832-911e1ce2fb46,LIST_TRANSACTIONS,xs2aListTransactions,true
10002,46c7674a-5ccb-461a-8832-911e1ce2fb46,AUTHORIZATION,,true
10003,46c7674a-5ccb-461a-8832-911e1ce2fb46,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10004,46c7674a-5ccb-461a-8832-911e1ce2fb46,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10005,46c7674a-5ccb-461a-8832-911e1ce2fb46,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10006,46c7674a-5ccb-461a-8832-911e1ce2fb46,DELETE_CONSENT,xs2aDeleteConsent,true
10007,46c7674a-5ccb-461a-8832-911e1ce2fb46,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10016,f3f43a35-9d01-4054-9bd8-588f1b845781,LIST_ACCOUNTS,xs2aListAccounts,true
10017,f3f43a35-9d01-4054-9bd8-588f1b845781,LIST_TRANSACTIONS,xs2aListTransactions,true
10018,f3f43a35-9d01-4054-9bd8-588f1b845781,AUTHORIZATION,,true
10019,f3f43a35-9d01-4054-9bd8-588f1b845781,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10020,f3f43a35-9d01-4054-9bd8-588f1b845781,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10021,f3f43a35-9d01-4054-9bd8-588f1b845781,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10022,f3f43a35-9d01-4054-9bd8-588f1b845781,DELETE_CONSENT,xs2aDeleteConsent,true
10023,f3f43a35-9d01-4054-9bd8-588f1b845781,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10032,817d890b-daf1-4df4-b805-21de883166fe,LIST_ACCOUNTS,xs2aListAccounts,true
10033,817d890b-daf1-4df4-b805-21de883166fe,LIST_TRANSACTIONS,xs2aListTransactions,true
10034,817d890b-daf1-4df4-b805-21de883166fe,AUTHORIZATION,,true
10035,817d890b-daf1-4df4-b805-21de883166fe,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10036,817d890b-daf1-4df4-b805-21de883166fe,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10037,817d890b-daf1-4df4-b805-21de883166fe,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10038,817d890b-daf1-4df4-b805-21de883166fe,DELETE_CONSENT,xs2aDeleteConsent,true
10039,817d890b-daf1-4df4-b805-21de883166fe,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10048,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,LIST_ACCOUNTS,xs2aListAccounts,true
10049,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,LIST_TRANSACTIONS,xs2aListTransactions,true
10050,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,AUTHORIZATION,,true
10051,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10052,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10053,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10054,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,DELETE_CONSENT,xs2aDeleteConsent,true
10055,cca91d83-3f54-4455-9ea8-7f9ec81ef7bf,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10064,8fc84960-3e44-4f86-ab1d-945da7dac0c2,LIST_ACCOUNTS,xs2aListAccounts,true
10065,8fc84960-3e44-4f86-ab1d-945da7dac0c2,LIST_TRANSACTIONS,xs2aListTransactions,true
10066,8fc84960-3e44-4f86-ab1d-945da7dac0c2,AUTHORIZATION,,true
10067,8fc84960-3e44-4f86-ab1d-945da7dac0c2,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10068,8fc84960-3e44-4f86-ab1d-945da7dac0c2,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10069,8fc84960-3e44-4f86-ab1d-945da7dac0c2,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10070,8fc84960-3e44-4f86-ab1d-945da7dac0c2,DELETE_CONSENT,xs2aDeleteConsent,true
10071,8fc84960-3e44-4f86-ab1d-945da7dac0c2,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10080,2f4857d8-b4c2-482d-896d-7fa64ab8048d,LIST_ACCOUNTS,xs2aListAccounts,true
10081,2f4857d8-b4c2-482d-896d-7fa64ab8048d,LIST_TRANSACTIONS,xs2aListTransactions,true
10082,2f4857d8-b4c2-482d-896d-7fa64ab8048d,AUTHORIZATION,,true
10083,2f4857d8-b4c2-482d-896d-7fa64ab8048d,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10084,2f4857d8-b4c2-482d-896d-7fa64ab8048d,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10085,2f4857d8-b4c2-482d-896d-7fa64ab8048d,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10086,2f4857d8-b4c2-482d-896d-7fa64ab8048d,DELETE_CONSENT,xs2aDeleteConsent,true
10087,2f4857d8-b4c2-482d-896d-7fa64ab8048d,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10096,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,LIST_ACCOUNTS,xs2aListAccounts,true
10097,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,LIST_TRANSACTIONS,xs2aListTransactions,true
10098,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,AUTHORIZATION,,true
10099,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10100,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
10101,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,GET_PAYMENT_STATUS,xs2aGetPaymentStatusState,true
10102,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,DELETE_CONSENT,xs2aDeleteConsent,true
10103,37f9b0b7-03d9-4d58-9a6e-3b277de5ea1b,GET_CONSENT_STATUS,xs2aGetConsentStatus,true
10112,688b503d-0f75-4e9a-8944-c0fc4420d92e,LIST_ACCOUNTS,xs2aListAccounts,true
10113,688b503d-0f75-4e9a-8944-c0fc4420d92e,LIST_TRANSACTIONS,xs2aListTransactions,true
10114,688b503d-0f75-4e9a-8944-c0fc4420d92e,AUTHORIZATION,,true
10115,688b503d-0f75-4e9a-8944-c0fc4420d92e,SINGLE_PAYMENT,xs2aInitiateSinglePayment,true
10116,688b503d-0f75-4e9a-8944-c0fc4420d92e,GET_PAYMENT_INFORMATION,xs2aGetPaymentInfoState,true
