id,action_id,protocol_action,sub_protocol_bean_name
10000,10002,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10001,10002,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10002,10002,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10003,10002,DENY_AUTHORIZATION,xs2aDenyAuthorization
10008,10018,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10009,10018,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10010,10018,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10011,10018,DENY_AUTHORIZATION,xs2aDenyAuthorization
10016,10034,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10017,10034,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10018,10034,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10019,10034,DENY_AUTHORIZATION,xs2aDenyAuthorization
10024,10050,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10025,10050,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10026,10050,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10027,10050,DENY_AUTHORIZATION,xs2aDenyAuthorization
10032,10066,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10033,10066,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10034,10066,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10035,10066,DENY_AUTHORIZATION,xs2aDenyAuthorization
10040,10082,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10041,10082,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10042,10082,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10043,10082,DENY_AUTHORIZATION,xs2aDenyAuthorization
10048,10098,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10049,10098,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10050,10098,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10051,10098,DENY_AUTHORIZATION,xs2aDenyAuthorization
10056,10114,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10057,10114,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10058,10114,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
